comparison,tested,up,down,ns
F-ISST vs GC-ISST (9w),222,42,15,165
F-LAR 4.5vs0,228,37,37,154
F-LAR 9fresh vs0,235,37,48,150
F-LAR 9necro vs0,235,34,64,137
F-LAR 9fresh vs4.5,242,19,25,198
F-LAR 9necro vs4.5,235,13,37,185
F-LAR 9fresh vs9necro,195,9,1,185
GC-LAR 4.5vs0,242,11,33,198
GC-LAR 9fresh vs0,248,32,41,175
GC-LAR 9necro vs0,276,32,66,178
GC-LAR 9fresh vs4.5,235,34,19,182
GC-LAR 9necro vs4.5,228,27,26,175
GC-LAR 9fresh vs9necro,209,13,6,190
F-LAR vs GC-LAR (0w),202,7,15,180
F-LAR vs GC-LAR (4.5w),216,30,12,174
F-LAR-Fresh vs GC-LAR-Fresh (9w),209,15,16,178
F-LAR-Necropsy vs GC-LAR-Necropsy (9w),197,14,18,165
F-ISST vs F-LAR-Necropsy (9w),228,77,10,141
GC-LAR-Necropsy vs GC-ISST (9w),216,30,56,130
GC-LAR vs BL (0w),242,2,30,210
